Symbol,Name,Sector,Industry,Exchange
ATTO,Atento S.A.,Public Utilities,Telecommunications Equipment,nyse
ATH,Athene Holding Ltd.,Finance,Life Insurance,nyse
ATKR,Atkore International Group Inc.,Miscellaneous,Industrial Machinery/Components,nyse
AT,Atlantic Power Corporation,Energy,Electric Utilities: Central,nyse
ATO,Atmos Energy Corporation,Public Utilities,Oil/Gas Transmission,nyse
AUO,AU Optronics Corp,Technology,Semiconductors,nyse
ACB,Aurora Cannabis Inc.,Consumer Durables,Specialty Chemicals,nyse
ATHM,Autohome Inc.,Technology,EDP Services,nyse
ALV,"Autoliv, Inc.",Capital Goods,Auto Parts:O.E.M.,nyse
AN,"AutoNation, Inc.",Consumer Durables,Automotive Aftermarket,nyse
AZO,"AutoZone, Inc.",Consumer Services,Other Specialty Stores,nyse
AVLR,"Avalara, Inc.",Technology,Computer Software: Prepackaged Software,nyse
AVB,"AvalonBay Communities, Inc.",Consumer Services,Real Estate Investment Trusts,nyse
AGR,"Avangrid, Inc.",Public Utilities,Electric Utilities: Central,nyse
AVNS,"Avanos Medical, Inc.",Health Care,Industrial Specialties,nyse
AVTR,"Avantor, Inc.",Capital Goods,Biotechnology: Laboratory Analytical Instruments,nyse
AVYA,Avaya Holdings Corp.,Public Utilities,Telecommunications Equipment,nyse
AVY,Avery Dennison Corporation,Consumer Durables,Containers/Packaging,nyse
AVH,Avianca Holdings S.A.,Transportation,Air Freight/Delivery Services,nyse
AVA,Avista Corporation,Public Utilities,Power Generation,nyse
AVP,"Avon Products, Inc.",Consumer Non-Durables,Package Goods/Cosmetics,nyse
AVX,AVX Corporation,Capital Goods,Electrical Products,nyse
EQH,"AXA Equitable Holdings, Inc.",Finance,Specialty Insurers,nyse
AXTA,Axalta Coating Systems Ltd.,Basic Industries,Paints/Coatings,nyse
AXS,Axis Capital Holdings Limited,Finance,Property-Casualty Insurers,nyse
AX,"Axos Financial, Inc.",Finance,Savings Institutions,nyse
AXO,"Axos Financial, Inc.",Finance,Savings Institutions,nyse
AZUL,Azul S.A.,Transportation,Air Freight/Delivery Services,nyse
AZRE,Azure Power Global Limited,Public Utilities,Electric Utilities: Central,nyse
AZZ,AZZ Inc.,Consumer Durables,Building Products,nyse
BGS,"B&G Foods, Inc.",Consumer Non-Durables,Packaged Foods,nyse
BRPM,B. Riley Principal Merger Corp.,Finance,Business Services,nyse
BW,Babcock,Capital Goods,Building Products,nyse
BGH,Babson Global Short Duration High Yield Fund,,,nyse
BMI,"Badger Meter, Inc.",Capital Goods,Industrial Machinery/Components,nyse
BCSF,"Bain Capital Specialty Finance, Inc.",,,nyse
BHGE,"Baker Hughes, a GE company",Energy,Metal Fabrications,nyse
BBN,BalckRock Taxable Municipal Bond Trust,,,nyse
BLL,Ball Corporation,Consumer Durables,Containers/Packaging,nyse
BANC,"Banc of California, Inc.",Finance,Major Banks,nyse
BBVA,Banco Bilbao Viscaya Argentaria S.A.,Finance,Commercial Banks,nyse
BBD,Banco Bradesco Sa,Finance,Major Banks,nyse
BBDO,Banco Bradesco Sa,Finance,Major Banks,nyse
BCH,Banco De Chile,Finance,Commercial Banks,nyse
BLX,"Banco Latinoamericano de Comercio Exterior, S.A.",Finance,Commercial Banks,nyse
BSBR,Banco Santander Brasil SA,Finance,Commercial Banks,nyse
BSAC,Banco Santander Chile,Finance,Commercial Banks,nyse
BSMX,"Banco Santander Mexico, S.A., Institucion de Ban",Finance,Commercial Banks,nyse
SAN,"Banco Santander, S.A.",Finance,Commercial Banks,nyse
CIB,BanColombia S.A.,Finance,Commercial Banks,nyse
BXS,BancorpSouth Bank,,,nyse
BAC,Bank of America Corporation,Finance,Major Banks,nyse
BOH,Bank of Hawaii Corporation,Finance,Major Banks,nyse
BMO,Bank Of Montreal,Finance,Commercial Banks,nyse
NTB,Bank of N.T. Butterfield & Son Limited (The),Finance,Commercial Banks,nyse
BK,Bank Of New York Mellon Corporation (The),Finance,Major Banks,nyse
BNS,Bank of Nova Scotia (The),Finance,Major Banks,nyse
BKU,"BankUnited, Inc.",Finance,Savings Institutions,nyse
BCS,Barclays PLC,Finance,Commercial Banks,nyse
BBDC,"Barings BDC, Inc.",,,nyse
MCI,Barings Corporate Investors,,,nyse
MPV,Barings Participation Investors,Consumer Services,Miscellaneous,nyse
BNED,"Barnes & Noble Education, Inc",Consumer Services,Other Specialty Stores,nyse
B,"Barnes Group, Inc.",Capital Goods,Metal Fabrications,nyse
GOLD,Barrick Gold Corporation,Basic Industries,Precious Metals,nyse
BAS,"Basic Energy Services, Inc.",Energy,Oilfield Services/Equipment,nyse
BHC,Bausch Health Companies Inc.,Health Care,Major Pharmaceuticals,nyse
BAX,Baxter International Inc.,Health Care,Medical/Dental Instruments,nyse
BTE,Baytex Energy Corp,Energy,Oil & Gas Production,nyse
BBT,BB&T Corporation,Finance,Major Banks,nyse
BBAR,BBVA Banco Frances S.A.,Finance,Commercial Banks,nyse
BBX,BBX Capital Corporation,Finance,Real Estate,nyse
BCE,"BCE, Inc.",Public Utilities,Telecommunications Equipment,nyse
BZH,"Beazer Homes USA, Inc.",Capital Goods,Homebuilding,nyse
BDX,"Becton, Dickinson and Company",Health Care,Medical/Dental Instruments,nyse
BDXA,"Becton, Dickinson and Company",Health Care,Medical/Dental Instruments,nyse
BDC,Belden Inc,Basic Industries,Telecommunications Equipment,nyse
BHE,"Benchmark Electronics, Inc.",Technology,Electrical Products,nyse
BHLB,"Berkshire Hills Bancorp, Inc.",Finance,Banks,nyse
BERY,"Berry Global Group, Inc.",Consumer Non-Durables,Plastic Products,nyse
BBY,"Best Buy Co., Inc.",Consumer Services,Consumer Electronics/Video Chains,nyse
BEST,BEST Inc.,Transportation,Trucking Freight/Courier Services,nyse
BHP,BHP Group Limited,Basic Industries,Precious Metals,nyse
BBL,BHP Group Plc,Energy,Coal Mining,nyse
BIG,"Big Lots, Inc.",Consumer Services,Department/Specialty Retail Stores,nyse
BH,Biglari Holdings Inc.,Consumer Services,Restaurants,nyse
BHVN,Biohaven Pharmaceutical Holding Company Ltd.,Health Care,Major Pharmaceuticals,nyse
BIO,"Bio-Rad Laboratories, Inc.",Capital Goods,Biotechnology: Laboratory Analytical Instruments,nyse
BITA,Bitauto Holdings Limited,Technology,EDP Services,nyse
BJ,"BJ&#39;s Wholesale Club Holdings, Inc.",Consumer Services,Department/Specialty Retail Stores,nyse
BKH,Black Hills Corporation,Public Utilities,Electric Utilities: Central,nyse
BKI,"Black Knight, Inc.",Technology,Computer Software: Prepackaged Software,nyse
BSM,"Black Stone Minerals, L.P.",Energy,Oil & Gas Production,nyse
BB,BlackBerry Limited,Technology,Computer Software: Prepackaged Software,nyse
BGIO,BlackRock 2022 Global Income Opportunity Trust,,,nyse
BFZ,BlackRock California Municipal Income Trust,,,nyse
CII,Blackrock Capital and Income Strategies Fund Inc,,,nyse
BHK,Blackrock Core Bond Trust,,,nyse
HYT,"Blackrock Corporate High Yield Fund, Inc.",,,nyse
BTZ,BlackRock Credit Allocation Income Trust,,,nyse
DSU,"Blackrock Debt Strategies Fund, Inc.",,,nyse
BGR,BlackRock Energy and Resources Trust,,,nyse
BDJ,Blackrock Enhanced Equity Dividend Trust,,,nyse
EGF,"Blackrock Enhanced Government Fund, Inc",,,nyse
FRA,Blackrock Floating Rate Income Strategies Fund Inc,,,nyse
BFO,Blackrock Florida Municipal 2020 Term Trust,,,nyse
BGT,Blackrock Global,,,nyse
BOE,Blackrock Global,,,nyse
BME,Blackrock Health Sciences Trust,,,nyse
BAF,BlackRock Income Investment Quality Trust,,,nyse
BKT,BlackRock Income Trust Inc. (The),,,nyse
BGY,"BLACKROCK INTERNATIONAL, LTD.",,,nyse
BKN,BlackRock Investment Quality Municipal Trust Inc. (The),,,nyse
BTA,BlackRock Long-Term Municipal Advantage Trust,,,nyse
BZM,BlackRock Maryland Municipal Bond Trust,,,nyse
MHE,BlackRock Massachusetts Tax-Exempt Trust,,,nyse
BIT,BlackRock Multi-Sector Income Trust,,,nyse
MUI,Blackrock Muni Intermediate Duration Fund Inc,,,nyse
MNE,Blackrock Muni New York Intermediate Duration Fund Inc,,,nyse
MUA,"Blackrock MuniAssets Fund, Inc.",,,nyse
BKK,Blackrock Municipal 2020 Term Trust,,,nyse
BBK,Blackrock Municipal Bond Trust,,,nyse
BBF,BlackRock Municipal Income Investment Trust,,,nyse
BYM,Blackrock Municipal Income Quality Trust,,,nyse
BFK,BlackRock Municipal Income Trust,,,nyse
BLE,BlackRock Municipal Income Trust II,,,nyse
BTT,BlackRock Municipal Target Term Trust Inc. (The),,,nyse
MEN,"Blackrock MuniEnhanced Fund, Inc.",,,nyse
MUC,"Blackrock MuniHoldings California Quality Fund,  Inc.",,,nyse
MUH,"Blackrock MuniHoldings Fund II, Inc.",,,nyse
MHD,"Blackrock MuniHoldings Fund, Inc.",,,nyse
MFL,Blackrock MuniHoldings Investment Quality Fund,,,nyse
MUJ,"Blackrock MuniHoldings New Jersey Insured Fund, Inc.",,,nyse
MHN,"Blackrock MuniHoldings New York Quality Fund, Inc.",,,nyse
MUE,"Blackrock MuniHoldings Quality Fund II, Inc.",,,nyse
MUS,"Blackrock MuniHoldings Quality Fund, Inc.",,,nyse
MVT,"Blackrock MuniVest Fund II, Inc.",,,nyse
MYC,"Blackrock MuniYield California Fund, Inc.",,,nyse
MCA,"Blackrock MuniYield California Insured Fund, Inc.",,,nyse
MYD,"Blackrock MuniYield Fund, Inc.",,,nyse
MYF,Blackrock MuniYield Investment Fund,,,nyse
MFT,Blackrock MuniYield Investment QualityFund,,,nyse
MIY,"Blackrock MuniYield Michigan Quality Fund, Inc.",,,nyse
MYJ,"Blackrock MuniYield New Jersey Fund, Inc.",,,nyse
MYN,"Blackrock MuniYield New York Quality Fund, Inc.",,,nyse
MPA,Blackrock MuniYield Pennsylvania Quality Fund,,,nyse
MQT,"Blackrock MuniYield Quality Fund II, Inc.",,,nyse
MYI,"Blackrock MuniYield Quality Fund III, Inc.",,,nyse
MQY,"Blackrock MuniYield Quality Fund, Inc.",,,nyse
BNY,BlackRock New York Investment Quality Municipal Trust Inc. (Th,,,nyse
BQH,Blackrock New York Municipal Bond Trust,,,nyse
BSE,Blackrock New York Municipal Income Quality Trust,,,nyse
BFY,BlackRock New York Municipal Income Trust II,,,nyse
BCX,BlackRock Resources,,,nyse
BST,BlackRock Science and Technology Trust,,,nyse
BSTZ,BlackRock Science and Technology Trust II,,,nyse
BSD,BlackRock Strategic Municipal Trust Inc. (The),,,nyse
BUI,"BlackRock Utility, Infrastructure & Power Opportun",,,nyse
BHV,BlackRock Virginia Municipal Bond Trust,,,nyse
BLK,"BlackRock, Inc.",Finance,Investment Bankers/Brokers/Service,nyse
BGB,Blackstone / GSO Strategic Credit Fund,,,nyse
BGX,Blackstone GSO Long Short Credit Income Fund,,,nyse
BSL,Blackstone GSO Senior Floating Rate Term Fund,,,nyse
BE,Bloom Energy Corporation,Energy,Industrial Machinery/Components,nyse
APRN,"Blue Apron Holdings, Inc.",Consumer Services,Catalog/Specialty Distribution,nyse
BCRH,Blue Capital Reinsurance Holdings Ltd.,Finance,Property-Casualty Insurers,nyse
BXG,Bluegreen Vacations Corporation,Finance,Real Estate,nyse
BXC,BlueLinx Holdings Inc.,Capital Goods,Wholesale Distributors,nyse
DCF,BNY Mellon Alcentra Global Credit Income 2024 Target Term Fund,,,nyse
DHF,BNY Mellon High Yield Strategies Fund,,,nyse
DMB,"BNY Mellon Municipal Bond Infrastructure Fund, Inc",,,nyse
DSM,"BNY Mellon Strategic Municipal Bond Fund, Inc.",,,nyse
LEO,"BNY Mellon Strategic Municipals, Inc.",,,nyse
BA,Boeing Company (The),Capital Goods,Aerospace,nyse
BCC,"Boise Cascade, L.L.C.",Consumer Services,RETAIL: Building Materials,nyse
BCEI,"Bonanza Creek Energy, Inc.",Energy,Oil & Gas Production,nyse
BOOT,"Boot Barn Holdings, Inc.",Consumer Services,Clothing/Shoe/Accessory Stores,nyse
BAH,Booz Allen Hamilton Holding Corporation,Consumer Services,Professional Services,nyse
BWA,BorgWarner Inc.,Capital Goods,Auto Parts:O.E.M.,nyse
BORR,Borr Drilling Limited,Energy,Oil & Gas Production,nyse
SAM,"Boston Beer Company, Inc. (The)",Consumer Non-Durables,Beverages (Production/Distribution),nyse
BXP,"Boston Properties, Inc.",Consumer Services,Real Estate Investment Trusts,nyse
BSX,Boston Scientific Corporation,Health Care,Medical/Dental Instruments,nyse
BOX,"Box, Inc.",Technology,Computer Software: Prepackaged Software,nyse
BYD,Boyd Gaming Corporation,Consumer Services,Hotels/Resorts,nyse
